elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (T),y-axis (T),z-axis (T),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),illuminance (lx)
20.882,-0.065,-0.005,1.004,,,,-0.122,0,-0.061,
20.892,-0.064,-0.006,1.003,,,,-0.305,0.427,0.183,
20.901,-0.063,-0.004,1.004,,,,-0.366,0,-0.061,
20.911,-0.065,-0.003,1.005,,,,0.305,0.122,0.061,
20.921,-0.064,-0.003,1.005,,,,0.183,0.122,0.183,
20.932,-0.065,-0.004,1.003,,,,0,0.183,0.122,
20.94,-0.064,-0.005,1.005,,,,0.305,0.183,-0.183,
20.951,-0.064,-0.004,1.005,,,,0.183,0.061,0.244,
20.961,-0.066,-0.005,1.003,,,,0.366,0.366,0.122,
20.971,-0.065,-0.004,1.003,,,,0.244,0.122,0,
20.981,-0.065,-0.005,1.004,,,,0.366,0.122,0.061,
20.99,-0.063,-0.005,1.003,,,,0.427,-0.183,-0.061,
21,-0.064,-0.004,1.005,,,,0.427,0,0.122,
21.011,-0.064,-0.006,1.005,,,,0.183,0.427,-0.122,
21.021,-0.065,-0.003,1.005,,,,0.366,0.122,0.183,
21.03,-0.063,-0.005,1.005,,,,0.061,0.366,-0.061,
21.04,-0.064,-0.005,1.005,,,,-0.366,0.244,0,
21.05,-0.064,-0.004,1.004,,,,0.061,0,0,
21.06,-0.065,-0.005,1.004,,,,0.305,0.122,0,
21.069,-0.064,-0.004,1.004,,,,0.122,0.183,-0.061,
21.079,-0.064,-0.005,1.002,,,,0.183,-0.061,0.305,
21.09,-0.065,-0.004,1.004,,,,0,0.061,-0.244,
21.1,-0.066,-0.005,1.002,,,,0.244,0.061,-0.061,
21.109,-0.065,-0.006,1.003,,,,0.061,0.061,0.061,
21.119,-0.065,-0.004,1.002,,,,-0.061,0.183,0,
21.129,-0.064,-0.003,1.003,,,,0.305,0.305,0,
21.14,-0.063,-0.004,1.005,,,,0.366,0,0.183,
21.148,-0.064,-0.004,1.004,,,,-0.305,-0.122,-0.122,
21.159,-0.065,-0.005,1.005,,,,-0.305,0.244,-0.183,
21.169,-0.066,-0.006,1.006,,,,0,0,-0.061,
21.179,-0.064,-0.004,1.004,,,,-0.122,0.061,-0.061,
21.189,-0.063,-0.004,1.003,,,,-0.427,0.183,0.061,
21.198,-0.064,-0.004,1.004,,,,-0.183,0,0.061,
21.208,-0.065,-0.004,1.005,,,,-0.427,0.244,-0.061,
21.219,-0.065,-0.003,1.003,,,,0.061,0.061,-0.061,
21.229,-0.065,-0.004,1.002,,,,0,0.122,0.183,
21.238,-0.064,-0.005,1.005,,,,0,0.366,-0.122,
21.248,-0.064,-0.005,1.006,,,,0.122,0.122,0,
21.258,-0.064,-0.004,1.004,,,,0.183,0.061,0.244,
21.268,-0.065,-0.004,1.006,,,,0.183,0.122,0.061,
21.277,-0.066,-0.004,1.005,,,,0.122,0.061,0.061,
21.288,-0.065,-0.004,1.005,,,,-0.061,0.122,0.183,
21.298,-0.066,-0.005,1.004,,,,-0.244,0.366,0.061,
21.308,-0.065,-0.005,1.004,,,,-0.427,0.244,-0.061,
21.317,-0.064,-0.003,1.004,,,,-0.061,0.305,0,
21.327,-0.064,-0.004,1.004,,,,0.122,0,0.122,
21.337,-0.064,-0.005,1.005,,,,0.305,0.061,-0.061,
21.348,-0.064,-0.004,1.005,,,,0.488,0.183,-0.122,
21.356,-0.065,-0.004,1.005,,,,0.427,-0.122,0,
21.367,-0.065,-0.004,1.006,,,,0.183,0.549,0,
21.377,-0.065,-0.004,1.005,,,,-0.183,0.366,0,
21.387,-0.064,-0.004,1.004,,,,-0.122,0,0.061,
21.397,-0.064,-0.005,1.005,,,,-0.366,0.244,-0.122,
21.406,-0.064,-0.005,1.005,,,,-0.122,0.183,0.061,
21.416,-0.063,-0.004,1.001,,,,-0.122,-0.183,0,
21.427,-0.063,-0.004,1.006,,,,0.061,0.183,0,
21.437,-0.064,-0.004,1.003,,,,0.244,0.061,0.122,
21.446,-0.064,-0.005,1.004,,,,0.183,-0.183,0.061,
21.456,-0.066,-0.005,1.006,,,,0.244,0.183,-0.061,
21.466,-0.064,-0.004,1.005,,,,-0.122,0.122,0,
21.476,-0.063,-0.004,1.004,,,,0.061,0.366,-0.183,
21.485,-0.064,-0.004,1.003,,,,0.366,0,-0.061,
21.496,-0.064,-0.004,1.003,,,,0.793,-0.183,0.366,
21.506,-0.064,-0.004,1.004,,,,0.183,0.061,0.061,
21.516,-0.063,-0.004,1.007,,,,-0.732,0.183,-0.061,
21.526,-0.064,-0.003,1.006,,,,-0.061,0.122,-0.061,
21.535,-0.066,-0.003,1.004,,,,0.854,0.183,0,
21.545,-0.064,-0.003,1.004,,,,0.854,-0.122,0,
21.556,-0.063,-0.003,1.007,,,,0.61,-0.122,0.122,
21.564,-0.064,-0.003,1.005,,,,0.061,0.122,-0.122,
21.575,-0.064,-0.004,1.003,,,,-0.61,0.061,0,
21.585,-0.064,-0.004,1.004,,,,-0.61,0.183,-0.183,
21.595,-0.062,-0.004,1.004,,,,-0.061,-0.061,-0.122,
21.605,-0.063,-0.003,1.004,,,,0.122,-0.305,0.244,
21.614,-0.064,-0.002,1.005,,,,0.488,0.427,-0.061,
21.624,-0.062,-0.004,1.005,,,,0.122,0,0.122,
21.635,-0.065,-0.004,1.004,,,,-0.427,0.244,-0.122,
21.645,-0.064,-0.005,1.003,,,,-0.488,0.244,-0.122,
21.654,-0.064,-0.005,1.004,,,,0.244,0,0.122,
21.664,-0.064,-0.004,1.004,,,,0.122,-0.061,0.061,
21.674,-0.065,-0.004,1.004,,,,0.488,0.122,0.061,
21.684,-0.065,-0.004,1.004,,,,0.488,0,0.183,
21.693,-0.065,-0.004,1.004,,,,0.244,0.122,0.183,
21.704,-0.064,-0.004,1.005,,,,0.122,0.305,0,
21.714,-0.063,-0.004,1.005,,,,0.183,0.061,0.305,
21.724,-0.066,-0.004,1.004,,,,0.183,0.244,-0.122,
21.733,-0.064,-0.003,1.005,,,,0.061,0,-0.183,
21.743,-0.064,-0.003,1.005,,,,-0.549,0.061,0.061,
21.753,-0.065,-0.003,1.001,,,,-0.305,0.244,0.061,
21.764,-0.065,-0.004,1.003,,,,-0.366,0.244,-0.122,
21.772,-0.064,-0.003,1.004,,,,-0.244,0.122,-0.061,
21.783,-0.065,-0.003,1.004,,,,-0.122,0.305,-0.122,
21.793,-0.065,-0.005,1.005,,,,-0.122,0.183,-0.061,
21.803,-0.066,-0.004,1.004,,,,-0.122,0,-0.122,
21.813,-0.065,-0.005,1.005,,,,0.061,-0.061,0.122,
21.822,-0.063,-0.004,1.003,,,,0,0.305,0,
21.832,-0.065,-0.004,1.004,,,,-0.305,0.183,-0.122,
21.843,-0.065,-0.005,1.003,,,,0.122,0,-0.122,
21.853,-0.064,-0.004,1.005,,,,0.061,0.244,0.183,
21.862,-0.066,-0.004,1.005,,,,0.305,-0.244,-0.061,
21.872,-0.064,-0.005,1.004,,,,0.122,-0.122,0.122,
21.882,-0.065,-0.004,1.004,,,,0.488,0.061,0,
21.892,-0.063,-0.004,1.006,,,,0.366,0.122,0.244,
21.901,-0.065,-0.005,1.004,,,,0.305,0.061,-0.244,
21.912,-0.064,-0.006,1.002,,,,0.183,0.122,0.061,
21.922,-0.065,-0.005,1.003,,,,0.122,0.305,-0.183,
21.932,-0.066,-0.003,1.003,,,,0,-0.061,0.122,
21.941,-0.064,-0.004,1.002,,,,-0.305,0.061,0.061,
21.951,-0.065,-0.004,1.005,,,,0.061,0.061,-0.122,
21.961,-0.064,-0.005,1.005,,,,0.122,0.183,0.061,
21.972,-0.064,-0.005,1.005,,,,0.305,0.183,0,
21.98,-0.066,-0.004,1.005,,,,-0.061,0.061,-0.061,
21.991,-0.064,-0.004,1.005,,,,0,0.122,0,
22.001,-0.064,-0.004,1.006,,,,0.366,0,0,
22.011,-0.064,-0.004,1.006,,,,-0.183,0.122,0.244,
22.021,-0.065,-0.004,1.003,,,,0.122,0.305,0,
22.03,-0.065,-0.004,1.004,,,,0.183,0.244,0.244,
22.04,-0.064,-0.004,1.005,,,,0.122,0.366,-0.183,
22.051,-0.065,-0.003,1.005,,,,0.122,0.061,0.183,
22.061,-0.064,-0.006,1.003,,,,0,-0.183,-0.122,
22.07,-0.064,-0.005,1.003,,,,0.244,0,0.122,
22.08,-0.065,-0.006,1.003,,,,-0.305,0.305,-0.061,
22.09,-0.064,-0.004,1.005,,,,-0.061,0,0.244,
22.1,-0.064,-0.003,1.004,,,,-0.366,0.305,0,
22.109,-0.065,-0.005,1.004,,,,0.061,0,0.183,
22.12,-0.064,-0.004,1.003,,,,0.305,0.061,0.061,
22.13,-0.066,-0.004,1.004,,,,0,0.305,0.183,
22.14,-0.066,-0.004,1.004,,,,0.366,0.244,0.122,
22.149,-0.065,-0.004,1.005,,,,0.244,0,0,
22.159,-0.064,-0.003,1.004,,,,0.244,0.244,0.122,
22.169,-0.064,-0.004,1.005,,,,-0.061,0.244,-0.183,
22.18,-0.064,-0.005,1.004,,,,0,0.061,-0.244,
22.188,-0.066,-0.002,1.003,,,,0.427,0.244,-0.061,
22.199,-0.065,-0.004,1.004,,,,0.305,0.244,0.122,
22.209,-0.065,-0.004,1.005,,,,-0.305,0.122,0,
22.219,-0.064,-0.003,1.004,,,,0,0.244,0,
22.229,-0.064,-0.004,1.005,,,,0.244,0.183,0.122,
22.238,-0.063,-0.005,1.003,,,,0.183,0.061,-0.122,
22.248,-0.065,-0.003,1.005,,,,0.183,0.061,-0.122,
22.259,-0.063,-0.003,1.004,,,,-0.061,-0.183,0.061,
22.269,-0.065,-0.004,1.004,,,,-0.366,-0.061,-0.061,
22.278,-0.065,-0.004,1.005,,,,-0.366,0.122,-0.305,
22.288,-0.065,-0.003,1.006,,,,0.244,0.305,0.061,
22.298,-0.063,-0.002,1.004,,,,0.427,0,0.244,
22.308,-0.063,-0.003,1.003,,,,0.366,0.061,0.061,
22.317,-0.065,-0.004,1.005,,,,0.183,0,0.183,
22.328,-0.064,-0.004,1.005,,,,0.427,0,0.061,
22.338,-0.065,-0.004,1.005,,,,0.183,-0.061,0,
22.348,-0.065,-0.004,1.005,,,,-0.061,0.305,-0.061,
22.357,-0.065,-0.003,1.003,,,,0.122,-0.061,0,
22.367,-0.065,-0.004,1.003,,,,0.122,0,-0.061,
22.377,-0.064,-0.003,1.004,,,,0,0,0.061,
22.388,-0.065,-0.004,1.004,,,,0.122,0.183,-0.122,
22.398,-0.065,-0.005,1.004,,,,0.183,-0.122,0.061,
22.407,-0.065,-0.003,1.005,,,,0.305,0,0,
22.417,-0.065,-0.003,1.005,,,,0.305,0.183,-0.122,
22.427,-0.066,-0.003,1.006,,,,0.366,0.183,0.061,
22.437,-0.065,-0.004,1.004,,,,0.061,0.061,0.061,
22.446,-0.063,-0.003,1.002,,,,0.183,-0.183,0,
22.456,-0.064,-0.003,1.004,,,,-0.061,0,-0.061,
22.467,-0.063,-0.004,1.003,,,,0.122,0.122,-0.061,
22.477,-0.064,-0.003,1.003,,,,0.061,0.305,0.061,
22.486,-0.065,-0.004,1.002,,,,0.122,0.305,0,
22.496,-0.063,-0.004,1.005,,,,0,0.183,-0.122,
22.506,-0.064,-0.003,1.006,,,,0.061,0.183,-0.122,
22.517,-0.065,-0.004,1.006,,,,0.122,0.122,0.061,
22.525,-0.065,-0.002,1.004,,,,0.366,0.122,0,
22.536,-0.064,-0.003,1.003,,,,0.061,0.244,-0.244,
22.546,-0.064,-0.005,1.003,,,,0.366,0.305,-0.061,
22.556,-0.065,-0.004,1.003,,,,0.244,0.183,-0.061,
22.565,-0.065,-0.004,1.004,,,,0.122,0.183,0.061,
22.575,-0.063,-0.002,1.004,,,,-0.061,0.061,0.183,
22.585,-0.064,-0.003,1.004,,,,0.061,0.122,0,
22.596,-0.064,-0.002,1.005,,,,0.305,0,0.122,
22.606,-0.063,-0.003,1.004,,,,-0.183,0.244,0.122,
22.615,-0.065,-0.003,1.004,,,,0.305,0.122,0.122,
22.625,-0.065,-0.002,1.002,,,,-0.183,0.305,-0.122,
22.635,-0.065,-0.003,1.003,,,,-0.793,-0.061,0,
22.645,-0.064,-0.003,1.004,,,,-0.244,0.122,0,
22.654,-0.066,-0.004,1.004,,,,0,0.183,0.061,
22.664,-0.064,-0.003,1.005,,,,0.244,0.122,0.244,
22.675,-0.065,-0.002,1.005,,,,0.183,0.061,0.122,
22.685,-0.064,-0.004,1.006,,,,-0.244,0.427,0,
22.694,-0.065,-0.002,1.005,,,,-0.305,0.122,0.122,
22.704,-0.063,-0.003,1.003,,,,0,0.183,-0.061,
22.714,-0.064,-0.003,1.004,,,,0.488,-0.061,0.305,
22.725,-0.065,-0.003,1.004,,,,0.183,0.183,0.183,
22.733,-0.064,-0.005,1.003,,,,0.183,0.244,0.122,
22.744,-0.064,-0.003,1.003,,,,0.305,0,0.061,
22.754,-0.064,-0.005,1.006,,,,0.183,0.122,-0.244,
22.764,-0.064,-0.004,1.006,,,,0.305,-0.122,0.122,
22.773,-0.064,-0.005,1.007,,,,0,0.122,0.183,
22.783,-0.064,-0.004,1.004,,,,-0.427,0.061,0.183,
22.793,-0.063,-0.003,1.002,,,,-0.488,0.183,-0.061,
22.804,-0.064,-0.003,1.004,,,,-0.183,0.366,-0.122,
22.814,-0.063,-0.003,1.003,,,,0.122,0.244,-0.305,
22.823,-0.064,-0.004,1.004,,,,0.183,0.122,0.061,
22.833,-0.063,-0.002,1.004,,,,0.671,0,0.183,
22.843,-0.064,-0.003,1.006,,,,0.061,0.305,-0.061,
22.853,-0.065,-0.004,1.005,,,,0.061,0.366,0,
22.862,-0.062,-0.004,1.004,,,,0,0.122,-0.183,
22.872,-0.063,-0.003,1.004,,,,-0.061,0.244,-0.183,
22.883,-0.063,-0.003,1.005,,,,0,0.244,-0.061,
22.893,-0.064,-0.002,1.004,,,,0.183,0,-0.061,
22.902,-0.064,-0.004,1.004,,,,-0.122,0.183,0.366,
22.912,-0.064,-0.003,1.003,,,,0,0.244,-0.061,
22.922,-0.065,-0.004,1.004,,,,-0.061,-0.061,0.122,
22.933,-0.064,-0.004,1.004,,,,0.061,0.183,-0.183,
22.941,-0.065,-0.004,1.006,,,,-0.305,0.061,0,
22.952,-0.065,-0.004,1.005,,,,-0.183,-0.061,-0.244,
22.962,-0.067,-0.003,1.003,,,,-0.061,0.305,0.061,
22.972,-0.063,-0.002,1.004,,,,0.244,0.061,0.244,
22.981,-0.063,-0.002,1.004,,,,0.366,-0.061,0.183,
22.991,-0.063,-0.004,1.004,,,,0.183,0.305,0,
23.001,-0.063,-0.004,1.005,,,,0.122,0,-0.061,
23.012,-0.064,-0.004,1.005,,,,0.305,0.244,0.122,
23.022,-0.063,-0.005,1.004,,,,0.427,0,0,
23.031,-0.065,-0.003,1.003,,,,0.183,0.244,0.183,
23.041,-0.065,-0.005,1.003,,,,0,0.183,0.183,
23.051,-0.064,-0.003,1.004,,,,-0.244,0.244,0.122,
23.061,-0.066,-0.002,1.005,,,,-0.427,0.366,0,
23.07,-0.066,-0.004,1.003,,,,0.061,0.122,0.061,
23.08,-0.065,-0.002,1.004,,,,0.183,0.061,0.122,
23.091,-0.065,-0.003,1.004,,,,-0.183,0.244,0.061,
23.101,-0.064,-0.004,1.005,,,,-0.183,0.244,0.122,
23.11,-0.064,-0.004,1.006,,,,0.244,0.244,0.122,
23.12,-0.064,-0.003,1.004,,,,0.427,0.122,0,
23.13,-0.064,-0.004,1.002,,,,0.183,0.183,0.061,
23.141,-0.063,-0.004,1.003,,,,0.244,0,0.061,
23.149,-0.062,-0.004,1.004,,,,0.183,0.061,0.244,
23.16,-0.064,-0.003,1.006,,,,0.305,0,0.061,
23.17,-0.064,-0.002,1.003,,,,-0.122,0,0.061,
23.18,-0.065,-0.002,1.005,,,,-0.183,0.183,0.244,
23.189,-0.065,-0.003,1.004,,,,-0.183,0.061,0,
23.199,-0.064,-0.004,1.005,,,,-0.305,0.122,0.122,
23.209,-0.064,-0.004,1.004,,,,-0.061,0.061,-0.183,
23.22,-0.063,-0.002,1.004,,,,-0.061,0.183,-0.122,
23.23,-0.063,-0.002,1.004,,,,0.061,0.244,0,
23.239,-0.064,-0.002,1.004,,,,-0.061,0.183,-0.061,
23.249,-0.064,-0.004,1.006,,,,0.183,0.366,0.122,
23.259,-0.065,-0.003,1.003,,,,0.488,0.122,0.061,
23.269,-0.063,-0.002,1.004,,,,0.122,-0.122,0.122,
23.278,-0.064,-0.003,1.003,,,,-0.183,0.305,0.122,
23.288,-0.064,-0.004,1.005,,,,-0.122,0,-0.122,
23.299,-0.064,-0.004,1.005,,,,0,0,-0.183,
23.309,-0.063,-0.003,1.005,,,,0.061,0,0.122,
23.318,-0.064,-0.003,1.005,,,,0.183,0.122,0,
23.328,-0.064,-0.003,1.006,,,,0.183,-0.183,-0.061,
23.338,-0.065,-0.003,1.005,,,,0.122,0.061,-0.244,
23.349,-0.064,-0.003,1.004,,,,-0.366,0.122,-0.244,
23.357,-0.065,-0.003,1.002,,,,-0.61,0.183,0.122,
23.368,-0.063,-0.004,1.004,,,,-0.183,-0.122,0,
23.378,-0.065,-0.003,1.002,,,,-0.183,0.122,-0.122,
23.388,-0.066,-0.002,1.004,,,,0.061,0.244,0.061,
23.397,-0.065,-0.003,1.003,,,,0,0,0.061,
23.407,-0.065,-0.003,1.003,,,,-0.183,0.183,-0.061,
23.417,-0.064,-0.003,1.004,,,,0.244,0.061,0.183,
23.428,-0.064,-0.002,1.003,,,,0.061,0.183,-0.122,
23.438,-0.064,-0.004,1.005,,,,0.061,0.183,-0.061,
23.447,-0.064,-0.004,1.002,,,,0.183,0,-0.061,
23.457,-0.064,-0.003,1.003,,,,0.122,0.183,-0.061,
23.467,-0.065,-0.003,1.004,,,,-0.122,0.061,-0.122,
23.477,-0.064,-0.002,1.003,,,,-0.183,0.122,-0.244,
23.486,-0.066,-0.003,1.002,,,,-0.183,0,0.061,
23.496,-0.063,-0.003,1.003,,,,-0.488,0.183,0,
23.507,-0.064,-0.002,1.003,,,,-0.427,0.183,-0.061,
23.517,-0.065,-0.003,1.003,,,,-0.183,0.244,-0.061,
23.526,-0.066,-0.003,1.004,,,,0,0.122,0,
23.536,-0.065,-0.004,1.006,,,,-0.183,0.305,-0.183,
23.546,-0.063,-0.003,1.005,,,,0,0.366,0.061,
23.557,-0.065,-0.004,1.004,,,,0.183,0.122,-0.183,
23.565,-0.064,-0.005,1.006,,,,0.305,0.183,-0.061,
23.576,-0.064,-0.005,1.004,,,,-0.122,0.122,-0.061,
23.586,-0.066,-0.004,1.004,,,,-0.366,0.183,0.244,
23.596,-0.065,-0.002,1.005,,,,-0.061,0.122,0.061,
23.605,-0.063,-0.003,1.003,,,,-0.305,0.122,0.061,
23.615,-0.064,-0.003,1.003,,,,-0.122,0.183,0.122,
23.625,-0.064,-0.003,1.005,,,,-0.061,0.244,0.122,
23.636,-0.063,-0.003,1.005,,,,0.183,0.183,-0.122,
23.646,-0.064,-0.004,1.003,,,,-0.122,0.244,0.061,
23.655,-0.064,-0.005,1.005,,,,0.244,0,0,
23.665,-0.065,-0.004,1.005,,,,0.244,0.061,0.122,
23.675,-0.065,-0.003,1.005,,,,-0.122,0.244,-0.305,
23.685,-0.064,-0.003,1.005,,,,0.061,0.305,0.183,
23.694,-0.065,-0.003,1.003,,,,0.305,0.122,-0.122,
23.704,-0.064,-0.003,1.003,,,,0.305,0.122,0.061,
23.715,-0.065,-0.003,1.003,,,,0.366,0,0,
23.725,-0.064,-0.005,1.002,,,,0.305,-0.305,0,
23.734,-0.065,-0.003,1.004,,,,0.061,0.122,0,
23.744,-0.065,-0.004,1.003,,,,0.061,0,0.061,
23.754,-0.063,-0.004,1.004,,,,0.244,0.244,-0.122,
23.765,-0.064,-0.004,1.005,,,,0.061,0,0.061,
23.773,-0.065,-0.002,1.004,,,,-0.427,0.122,-0.183,
23.784,-0.062,-0.003,1.005,,,,0,0.122,0.244,
23.794,-0.065,-0.003,1.004,,,,0.122,0.244,-0.061,
23.804,-0.065,-0.003,1.005,,,,0.305,0.122,-0.061,
23.813,-0.063,-0.002,1.003,,,,0.366,0.061,0.061,
23.823,-0.064,-0.003,1.004,,,,0.244,0,0.061,
23.833,-0.064,-0.003,1.005,,,,0.183,0.061,-0.061,
23.844,-0.064,-0.004,1.004,,,,-0.061,0.244,-0.244,
23.854,-0.065,-0.003,1.003,,,,0.183,-0.061,0,
23.863,-0.064,-0.004,1.005,,,,0.061,0.183,-0.183,
23.873,-0.063,-0.004,1.002,,,,0,0.427,-0.305,
23.883,-0.063,-0.002,1.005,,,,0.061,0.549,0,
23.893,-0.064,-0.003,1.004,,,,-0.061,-0.061,-0.183,
23.902,-0.065,-0.003,1.005,,,,0.122,0.305,0.244,
23.913,-0.066,-0.004,1.004,,,,0,0.305,-0.244,
23.923,-0.065,-0.004,1.003,,,,0,0.061,0.122,
23.933,-0.064,-0.005,1.005,,,,0.122,-0.061,0,
23.942,-0.064,-0.003,1.003,,,,-0.061,0,0,
23.952,-0.066,-0.002,1.001,,,,0.244,0.366,0,
23.962,-0.065,-0.003,1.004,,,,0.122,0,-0.122,
23.973,-0.065,-0.003,1.004,,,,0,0.122,0,
23.981,-0.065,-0.003,1.004,,,,-0.549,0.122,0.122,
23.992,-0.066,-0.002,1.004,,,,-0.305,0.122,-0.061,
24.002,-0.065,-0.003,1.005,,,,-0.061,0.183,0.122,
24.012,-0.064,-0.003,1.005,,,,-0.061,0.244,0.122,
24.021,-0.062,-0.001,1.004,,,,-0.061,0.061,0.122,
24.031,-0.064,-0.002,1.003,,,,-0.061,0.122,-0.122,
24.041,-0.065,-0.003,1.003,,,,0,0.061,0,
24.052,-0.064,-0.003,1.003,,,,0.305,-0.061,0,
24.062,-0.065,-0.003,1.004,,,,0.061,-0.061,0.122,
24.071,-0.063,-0.003,1.004,,,,0,0.122,0.122,
24.081,-0.066,-0.003,1.005,,,,0.183,0.061,0.122,
24.091,-0.066,-0.003,1.004,,,,0.366,0.305,-0.122,
24.101,-0.065,-0.003,1.005,,,,0.244,-0.061,0.122,
24.11,-0.065,-0.002,1.005,,,,-0.122,0,0.183,
24.121,-0.064,-0.004,1.004,,,,-0.122,0,-0.122,
24.131,-0.064,-0.002,1.003,,,,-0.366,0,-0.122,
24.141,-0.064,-0.002,1.004,,,,0,0.305,0.122,
24.15,-0.065,-0.003,1.004,,,,-0.366,0.244,0.122,
24.16,-0.065,-0.004,1.005,,,,-0.061,0.366,-0.061,
24.17,-0.064,-0.003,1.006,,,,0,0.122,0.061,
24.181,-0.065,-0.002,1.003,,,,-0.122,0.122,0.244,
24.189,-0.065,-0.003,1.002,,,,-0.183,0.305,-0.122,
24.2,-0.064,-0.002,1.003,,,,-0.244,0.122,-0.122,
24.21,-0.065,-0.002,1.005,,,,-0.061,0,0.061,
24.22,-0.066,-0.003,1.005,,,,-0.061,0.061,0.061,
24.229,-0.063,-0.004,1.003,,,,-0.183,0.061,0,
24.239,-0.064,-0.003,1.003,,,,-0.122,0.061,0,
24.249,-0.064,-0.003,1.003,,,,-0.061,0.183,-0.061,
24.26,-0.065,-0.003,1.004,,,,-0.122,0,-0.122,
24.27,-0.064,-0.002,1.005,,,,0.427,-0.183,0,
24.279,-0.065,-0.002,1.004,,,,0.305,0.183,-0.183,
24.289,-0.065,-0.004,1.004,,,,0.183,0.061,-0.183,
24.299,-0.063,-0.003,1.003,,,,-0.244,0.183,0.122,
24.309,-0.064,-0.003,1.002,,,,0.122,0.183,0.183,
24.318,-0.066,-0.003,1.002,,,,0.183,0.549,-0.122,
24.329,-0.065,-0.002,1.004,,,,0.122,0,0,
24.339,-0.064,-0.002,1.004,,,,0.122,0.244,-0.183,
24.349,-0.063,-0.003,1.005,,,,0.488,0.122,0,
24.358,-0.063,-0.002,1.004,,,,0.488,-0.061,0.244,
24.368,-0.063,-0.003,1.002,,,,0,0.244,0,
24.378,-0.065,-0.003,1.003,,,,-0.244,0.305,-0.061,
24.389,-0.064,-0.003,1.004,,,,0.061,-0.061,0.366,
24.397,-0.064,-0.003,1.004,,,,0.061,0.183,-0.122,
24.408,-0.064,-0.002,1.004,,,,0,0.183,-0.122,
24.418,-0.063,-0.003,1.004,,,,0.488,0.122,0.061,
24.428,-0.065,-0.003,1.005,,,,0.122,0.122,0.122,
24.438,-0.065,-0.003,1.005,,,,0.061,0,0,
24.447,-0.066,-0.003,1.005,,,,0.244,0.366,0.061,
24.457,-0.066,-0.005,1.005,,,,0.061,0.061,0,
24.468,-0.065,-0.004,1.006,,,,-0.183,-0.244,0,
24.478,-0.066,-0.002,1.005,,,,-0.366,0,0,
24.487,-0.065,-0.002,1.004,,,,0.183,-0.122,-0.122,
24.497,-0.065,-0.002,1.005,,,,0.122,0.061,-0.061,
24.507,-0.065,-0.003,1.005,,,,0.427,0.427,-0.122,
24.517,-0.064,-0.002,1.004,,,,0.122,0,0.061,
24.526,-0.065,-0.002,1.004,,,,-0.244,-0.183,0.183,
24.537,-0.064,-0.003,1.003,,,,0.061,0.183,-0.183,
24.547,-0.064,-0.002,1.003,,,,0.305,0.061,0.183,
24.557,-0.064,-0.004,1.003,,,,0.061,0.305,0.183,
24.566,-0.065,-0.003,1.004,,,,-0.183,0.488,-0.305,
24.576,-0.062,-0.004,1.005,,,,0.061,0,0.061,
24.586,-0.065,-0.005,1.006,,,,0.183,0,0.244,
24.597,-0.064,-0.004,1.004,,,,0.122,-0.061,0,
24.605,-0.061,-0.002,1.004,,,,-0.122,0.122,0.061,
24.616,-0.065,-0.004,1.005,,,,-0.305,0,0.061,
24.626,-0.065,-0.004,1.004,,,,-0.305,0.061,-0.122,
24.636,-0.064,-0.004,1.004,,,,-0.183,0.183,-0.183,
24.646,-0.065,-0.003,1.002,,,,0.122,0.244,-0.366,
24.655,-0.063,-0.002,1.004,,,,0.183,0.061,-0.122,
24.665,-0.064,-0.004,1.003,,,,0.244,0.244,0.061,
24.676,-0.064,-0.004,1.003,,,,0.122,0.122,-0.122,
24.686,-0.066,-0.004,1.005,,,,0.244,0.244,0,
24.695,-0.066,-0.004,1.003,,,,0.427,0.183,0.061,
24.705,-0.065,-0.003,1.005,,,,0.122,0.427,0,
24.715,-0.064,-0.001,1.004,,,,0.122,0,-0.122,
24.725,-0.063,-0.002,1.004,,,,0,0,-0.122,
24.734,-0.064,-0.003,1.006,,,,0.244,0.183,0.122,
24.745,-0.065,-0.003,1.004,,,,-0.061,0.122,-0.183,
24.755,-0.065,-0.003,1.005,,,,0.061,0.183,-0.061,
24.765,-0.064,-0.003,1.005,,,,0.305,0,0.183,
24.774,-0.064,0,1.005,,,,-0.122,0.427,-0.244,
24.784,-0.064,-0.004,1.005,,,,-0.122,0.061,-0.122,
24.794,-0.064,-0.004,1.004,,,,-0.122,0.549,-0.122,
24.805,-0.065,-0.002,1.004,,,,0.061,0.183,0,
24.813,-0.064,-0.001,1.004,,,,-0.122,0.305,0.061,
24.824,-0.066,-0.003,1.003,,,,-0.061,0.183,-0.183,
24.834,-0.065,-0.003,1.004,,,,0.183,0.183,0.061,
24.844,-0.064,-0.003,1.005,,,,0.549,0,0,
24.854,-0.063,-0.003,1.005,,,,0.122,-0.061,-0.244,
24.863,-0.064,-0.002,1.005,,,,0.061,0.061,0.244,
24.873,-0.065,-0.004,1.005,,,,-0.244,-0.122,0.061,
24.884,-0.064,-0.003,1.004,,,,-0.244,0.183,-0.061,
24.894,-0.064,-0.001,1.004,,,,-0.061,-0.122,0,
24.903,-0.065,-0.003,1.004,,,,0,-0.183,0.183,
24.913,-0.066,-0.003,1.004,,,,0.244,0.122,0.061,
24.923,-0.065,-0.003,1.005,,,,0.122,0.305,-0.122,
