elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (T),y-axis (T),z-axis (T),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),illuminance (lx)
0.903,-0.064,-0.005,1.002,0.000020875,-0.000023812,-0.000012438,-0.061,-0.061,-0.061,
0.912,-0.064,-0.007,1.004,0.0000205,-0.000022,-0.000011625,0.305,0.488,0.244,
0.922,-0.062,-0.007,1.003,0.000020875,-0.000024188,-0.000012,0.305,0,-0.122,
0.932,-0.062,-0.004,1.004,0.00002125,-0.000023812,-0.000011625,0,0.183,0.183,
0.942,-0.064,-0.005,1.005,0.000020875,-0.00002275,-0.000012438,-0.366,0.244,-0.122,
0.951,-0.063,-0.005,1.004,0.00002125,-0.000023125,-0.000012,-0.183,0.305,0,
0.961,-0.063,-0.006,1.003,0.000020875,-0.000023812,-0.000010812,0.061,0,0.061,
0.972,-0.064,-0.005,1.005,0.00002125,-0.00002275,-0.000012438,0.061,0.122,-0.061,
0.982,-0.064,-0.006,1.004,0.0000205,-0.000022375,-0.000012,0.244,0,0.183,
0.991,-0.064,-0.008,1.003,0.000020875,-0.000023438,-0.000012813,0.183,0.244,0.061,
1.001,-0.064,-0.007,1.002,0.000022,-0.000023125,-0.000012,-0.122,0.305,0,
1.011,-0.062,-0.005,1.004,0.00002125,-0.000024562,-0.000011625,-0.061,0.183,0,
1.021,-0.064,-0.004,1.006,0.000020187,-0.000023438,-0.000012,0.061,0.244,-0.061,
1.032,-0.062,-0.005,1.005,0.0000205,-0.000023438,-0.000012813,0.61,0.305,0.122,
1.04,-0.062,-0.006,1.005,0.000020187,-0.000023438,-0.000012,0.244,0.061,0,
1.051,-0.062,-0.006,1.004,0.0000205,-0.000023438,-0.000012813,0.122,0.061,0.122,
1.061,-0.065,-0.008,1.004,0.0000205,-0.000024188,-0.000011625,0,0.122,0.183,
1.071,-0.065,-0.005,1.004,0.00002125,-0.000023812,-0.000010812,0.427,0.122,0,
1.08,-0.064,-0.004,1.004,0.000020187,-0.000023438,-0.000012,0.793,0.244,0,
1.09,-0.063,-0.004,1.005,0.000020875,-0.000023812,-0.000011625,0.427,0.061,0.244,
1.1,-0.063,-0.005,1.004,0.0000205,-0.000024562,-0.00001325,-0.671,-0.061,0.061,
1.111,-0.064,-0.006,1.002,0.00002125,-0.000024562,-0.000012,-0.488,0.366,0,
1.12,-0.064,-0.004,1.004,0.000020875,-0.000023812,-0.000012813,-0.366,0.122,-0.244,
1.13,-0.064,-0.004,1.004,0.00002125,-0.000023812,-0.000012438,-0.183,0.305,-0.061,
1.14,-0.064,-0.005,1.003,0.000020875,-0.000023125,-0.000012438,-0.061,0.366,0,
1.15,-0.064,-0.006,1.005,0.000022,-0.000022375,-0.000012438,-0.122,0.122,-0.061,
1.159,-0.064,-0.006,1.006,0.000021625,-0.000024188,-0.000012813,0.183,0.122,0,
1.169,-0.065,-0.006,1.003,0.00002125,-0.000024188,-0.000012,0.305,0.061,0.122,
1.18,-0.066,-0.006,1.003,0.000020875,-0.000023438,-0.000011625,0.549,0.244,0.061,
1.19,-0.064,-0.005,1.006,0.000020875,-0.000023125,-0.000012438,0.976,0.061,0.122,
1.199,-0.063,-0.005,1.004,0.0000205,-0.00002275,-0.000012438,0.793,0.183,0.122,
1.209,-0.063,-0.005,1.006,0.000019812,-0.000023812,-0.000012,0,0.061,0.061,
1.219,-0.064,-0.007,1.005,0.000020875,-0.000023125,-0.000012438,-0.61,0.488,-0.305,
1.229,-0.064,-0.006,1.005,0.00002125,-0.000023125,-0.000012,-0.366,0,0,
1.24,-0.064,-0.008,1.006,0.000021625,-0.00002275,-0.000011187,-0.488,0.122,-0.122,
1.248,-0.063,-0.006,1.004,0.00002125,-0.00002275,-0.000011625,-0.183,-0.122,0.305,
1.259,-0.065,-0.005,1.003,0.00002125,-0.000023438,-0.000012,0,0,-0.122,
1.269,-0.066,-0.006,1.006,0.00002125,-0.000023125,-0.000012,-0.061,0.122,0,
1.279,-0.064,-0.005,1.004,0.0000205,-0.000023812,-0.000011625,-0.122,0.488,-0.061,
1.288,-0.064,-0.007,1.005,0.000020875,-0.000023438,-0.000013188,0.183,0.122,-0.122,
1.298,-0.063,-0.005,1.005,0.000020187,-0.000023438,-0.000012,-0.061,-0.061,0.061,
1.308,-0.065,-0.005,1.003,0.000020875,-0.000023812,-0.000012813,-0.122,0.427,0,
1.319,-0.064,-0.006,1.003,0.0000205,-0.000023812,-0.000012438,0.061,0.183,0.061,
1.328,-0.064,-0.006,1.005,0.000022,-0.000023438,-0.000012438,-0.061,0.061,0.061,
1.338,-0.063,-0.005,1.005,0.000020875,-0.000023812,-0.000011625,0.122,0.183,-0.122,
1.348,-0.065,-0.005,1.005,0.0000205,-0.000024188,-0.000012438,0,0.183,0,
1.358,-0.064,-0.007,1.006,0.000020875,-0.000023125,-0.000012,-0.122,-0.122,0,
1.367,-0.064,-0.006,1.004,0.0000205,-0.000023125,-0.000013188,-0.244,0.244,0.122,
1.377,-0.064,-0.005,1.003,0.0000205,-0.00002275,-0.000012813,-0.061,0.122,-0.122,
1.388,-0.064,-0.005,1.005,0.000020875,-0.000023438,-0.000012438,-0.061,0.183,0.061,
1.398,-0.064,-0.006,1.005,0.00002125,-0.000024562,-0.000012,0,-0.183,0.122,
1.407,-0.064,-0.005,1.005,0.00002125,-0.000024188,-0.000013625,-0.061,0.122,0.061,
1.417,-0.065,-0.004,1.005,0.000019812,-0.00002275,-0.000012813,0.366,-0.061,0.122,
1.427,-0.063,-0.005,1.005,0.000019438,-0.000023438,-0.000012438,-0.244,0,-0.061,
1.437,-0.063,-0.005,1.005,0.0000205,-0.000023438,-0.000012813,-0.183,0.061,0.183,
1.448,-0.063,-0.006,1.005,0.000020875,-0.000023812,-0.000012813,0.183,0.122,-0.061,
1.456,-0.063,-0.004,1.003,0.000020875,-0.000023125,-0.000013188,-0.061,0.427,0.244,
1.467,-0.065,-0.004,1.004,0.000020875,-0.000023125,-0.000011625,0,0.183,0.061,
1.477,-0.066,-0.007,1.005,0.00002125,-0.000024188,-0.000014,-0.122,0.183,-0.122,
1.487,-0.065,-0.008,1.005,0.0000205,-0.000022375,-0.000012,0,0,-0.122,
1.496,-0.064,-0.007,1.005,0.000020875,-0.000023812,-0.000012438,-0.366,0.305,-0.061,
1.506,-0.065,-0.006,1.006,0.000022,-0.000023125,-0.000012813,-0.183,0.183,-0.183,
1.517,-0.064,-0.005,1.007,0.00002125,-0.000023125,-0.000013625,0.061,0.122,0.305,
1.527,-0.063,-0.006,1.006,0.0000205,-0.000023438,-0.000012438,0.122,0.244,0,
1.536,-0.065,-0.005,1.005,0.000021625,-0.000023438,-0.000011187,0.183,0.061,0.122,
1.546,-0.064,-0.006,1.003,0.000021625,-0.000024188,-0.000012438,0,0.122,0,
1.556,-0.062,-0.007,1.003,0.000021625,-0.000023812,-0.000012813,0,0.183,0.122,
1.566,-0.063,-0.006,1.004,0.000020875,-0.000023812,-0.000011625,0.061,0.061,0.244,
1.575,-0.064,-0.006,1.005,0.00002125,-0.000023125,-0.000012438,0.061,0.427,0,
1.585,-0.065,-0.006,1.004,0.000022375,-0.000023812,-0.000012,0,-0.122,0.061,
1.596,-0.065,-0.006,1.003,0.000020875,-0.000023438,-0.000012,0,0.183,0.183,
1.606,-0.063,-0.005,1.004,0.00002125,-0.000024562,-0.000011625,-0.061,0.366,0,
1.615,-0.065,-0.006,1.003,0.000020187,-0.000024188,-0.000012,0.183,0,0.183,
1.625,-0.064,-0.006,1.003,0.000020875,-0.000023812,-0.000012813,0.061,0.122,0.122,
1.635,-0.063,-0.005,1.005,0.000022,-0.000023438,-0.000011625,0.122,0,-0.122,
1.645,-0.064,-0.006,1.005,0.000022,-0.000023438,-0.000011625,-0.183,0.122,0.183,
1.656,-0.063,-0.006,1.007,0.000020187,-0.000023812,-0.000012,-0.122,0.061,0.122,
1.664,-0.064,-0.007,1.006,0.00002125,-0.000023125,-0.000012,-0.305,0.183,-0.061,
1.675,-0.065,-0.006,1.005,0.000021625,-0.000022375,-0.000012,-0.122,0.183,0.061,
1.685,-0.066,-0.006,1.003,0.000020187,-0.000023812,-0.000012813,0.122,0.244,-0.122,
1.695,-0.064,-0.006,1.003,0.000020187,-0.000023438,-0.000012,0.061,0.183,-0.244,
1.704,-0.064,-0.005,1.004,0.0000205,-0.000023125,-0.000012438,-0.061,0.183,-0.183,
1.714,-0.064,-0.006,1.005,0.000020875,-0.000023125,-0.000012,-0.305,-0.061,-0.061,
1.725,-0.063,-0.008,1.006,0.000020875,-0.000024188,-0.000012813,-0.427,0.305,0,
1.735,-0.064,-0.006,1.005,0.000020875,-0.000023812,-0.000012,0,0.305,0.061,
1.744,-0.063,-0.005,1.005,0.0000205,-0.000024562,-0.000013188,-0.244,0.122,0.122,
1.754,-0.064,-0.007,1.004,0.000020187,-0.000023812,-0.000011625,0.122,-0.122,0,
1.764,-0.062,-0.007,1.006,0.0000205,-0.000022375,-0.000012438,0.305,-0.122,-0.122,
1.774,-0.064,-0.007,1.005,0.0000205,-0.000023812,-0.000011625,0,0,0.244,
1.783,-0.065,-0.006,1.006,0.000020875,-0.000024188,-0.000012,-0.305,0.244,0.183,
1.793,-0.064,-0.006,1.003,0.00002125,-0.000023438,-0.000012813,0.061,0.183,0.122,
1.804,-0.064,-0.007,1.005,0.00002125,-0.000023438,-0.000012813,0.305,0.244,0.122,
1.814,-0.063,-0.006,1.005,0.000020875,-0.000023438,-0.000012,0.427,-0.122,-0.244,
1.823,-0.063,-0.006,1.005,0.0000205,-0.00002275,-0.000013188,0.183,0.183,0.122,
1.833,-0.064,-0.006,1.005,0.0000205,-0.000022,-0.000012,0.061,-0.122,-0.183,
1.843,-0.063,-0.006,1.007,0.000021625,-0.00002275,-0.000011625,0.122,0.061,-0.061,
1.853,-0.063,-0.005,1.006,0.000020875,-0.000023438,-0.000011187,0,0.183,0.305,
1.864,-0.064,-0.004,1.003,0.0000205,-0.000023812,-0.000012438,0,0.061,-0.183,
1.872,-0.064,-0.005,1.004,0.000020875,-0.000023125,-0.000012438,0,0.122,0,
1.883,-0.064,-0.006,1.004,0.000020187,-0.000023438,-0.000011187,-0.183,0.061,-0.183,
1.893,-0.064,-0.003,1.005,0.000020187,-0.000023438,-0.000013188,0.061,0.305,0.122,
1.903,-0.064,-0.005,1.005,0.000020187,-0.000023438,-0.000012438,0.183,0.427,-0.244,
1.912,-0.063,-0.005,1.005,0.000020875,-0.000023438,-0.000012813,0.549,0.122,0.061,
1.922,-0.063,-0.005,1.005,0.0000205,-0.000024188,-0.000012,0.122,0.061,0,
1.933,-0.063,-0.005,1.003,0.0000205,-0.000024188,-0.000012813,-0.061,0.122,-0.061,
1.943,-0.065,-0.006,1.005,0.0000205,-0.000022,-0.000011625,0.061,-0.061,0,
1.952,-0.062,-0.004,1.006,0.0000205,-0.000024188,-0.000013625,0.305,0.305,0.061,
1.962,-0.064,-0.005,1.005,0.000020187,-0.000023438,-0.000012,0.305,0,-0.061,
1.972,-0.064,-0.005,1.006,0.000020875,-0.000023438,-0.000012813,0.183,0.244,-0.061,
1.982,-0.062,-0.006,1.006,0.000019812,-0.000023438,-0.000013188,-0.122,-0.061,0,
1.991,-0.064,-0.006,1.005,0.000020187,-0.000024188,-0.000012438,0,-0.244,0.122,
2.001,-0.064,-0.005,1.004,0.0000205,-0.000024188,-0.000012438,-0.183,0.183,0.061,
2.012,-0.064,-0.005,1.004,0.000020875,-0.000023125,-0.000011187,0.122,0.061,-0.061,
2.022,-0.064,-0.006,1.005,0.00002125,-0.000024562,-0.000012813,-0.122,0.122,0.305,
2.031,-0.063,-0.006,1.004,0.000020875,-0.000023438,-0.000011187,0,0.244,-0.061,
2.041,-0.064,-0.005,1.004,0.000020187,-0.000023438,-0.000012,-0.183,0.061,0,
2.051,-0.064,-0.005,1.005,0.000020875,-0.000023812,-0.000012438,-0.183,0.244,-0.183,
2.061,-0.064,-0.006,1.005,0.0000205,-0.000023438,-0.000012438,-0.305,0,-0.122,
2.072,-0.064,-0.007,1.004,0.000020187,-0.000023125,-0.000012813,-0.305,0.305,-0.183,
2.08,-0.065,-0.006,1.005,0.000021625,-0.000024188,-0.000012438,0.122,-0.122,0.122,
2.091,-0.062,-0.005,1.003,0.000020187,-0.000023125,-0.000011625,0,0,0.061,
2.101,-0.063,-0.006,1.004,0.000019812,-0.000024188,-0.000013188,0.061,0.427,0.122,
2.111,-0.063,-0.005,1.004,0.0000205,-0.000024562,-0.000012813,0.305,-0.183,0.122,
2.12,-0.064,-0.005,1.007,0.000020875,-0.000023438,-0.000013188,0.305,0,-0.244,
2.13,-0.063,-0.006,1.004,0.000021625,-0.00002275,-0.000013188,0.427,0.305,-0.122,
2.141,-0.062,-0.006,1.004,0.000020875,-0.000023812,-0.000012813,0,0.366,-0.122,
2.151,-0.063,-0.005,1.004,0.000020187,-0.00002275,-0.000011187,0.244,-0.061,0.061,
2.16,-0.064,-0.006,1.004,0.000020187,-0.000024188,-0.000011187,0.244,0.244,0,
